accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,roc_auc_score,auc,observed,expected,oe_ratio,brier_score,log_loss,ece,calibration_intercept,calibration_slope,model,imputation,best_cv_auc
0.9,0.6875,0.5238095238095238,0.5945945945945946,124,5,10,11,0.5,0.8940568475452196,0.8940568475452196,21,21.675163151696324,0.9688508387701116,0.07059360998688552,0.2459081153867414,0.023104447536170483,-0.061401148129822294,1.0008274847161835,XGBoost_tuned,3,0.9092964332318398
0.9133333333333333,0.8333333333333334,0.47619047619047616,0.6060606060606061,127,2,11,10,0.5,0.9010705057216685,0.9010705057216685,21,20.676989329978824,1.015621745741913,0.06784928583357283,0.2404249027173511,0.025025876450041933,0.3310627157546432,1.2378629960432361,XGBoost_tuned,4,0.9044333768305058
0.9,0.7142857142857143,0.47619047619047616,0.5714285714285714,125,4,11,10,0.5,0.8951642672572905,0.8951642672572905,21,20.781243903562427,1.0105266122399956,0.07483456156587481,0.256431266391859,0.011244419726232685,0.20476154554239004,1.139441259261966,XGBoost_tuned,5,0.8961051906626067
0.9,0.6875,0.5238095238095238,0.5945945945945946,124,5,10,11,0.5,0.9066076042820229,0.9066076042820229,21,20.688935443758965,1.01503530991658,0.06696438202731986,0.23253469283446587,0.010546695093313855,0.11536217197152841,1.0685923144808342,XGBoost_tuned,6,0.9082451790633609
0.9066666666666666,0.7692307692307693,0.47619047619047616,0.5882352941176471,126,3,11,10,0.5,0.9043927648578811,0.9043927648578811,21,20.897801976650953,1.004890371889983,0.07149406648533621,0.24844526004321116,0.045649811501304316,0.5631678229934541,1.4209677913032583,XGBoost_tuned,7,0.9069887269827461
0.88,0.6153846153846154,0.38095238095238093,0.47058823529411764,124,5,13,8,0.5,0.8929494278331487,0.8929494278331487,21,20.30399814248085,1.0342790544322866,0.07604101277119392,0.2589834330900167,0.02368795057137807,0.24179633668981973,1.1334369050980593,XGBoost_tuned,8,0.8980052921560098
0.9,0.75,0.42857142857142855,0.5454545454545454,126,3,12,9,0.5,0.8918420081210777,0.8918420081210777,21,19.502628905698657,1.0767779103802673,0.0722306858026966,0.24872729434531646,0.050194554018477604,0.45942010723229426,1.2326969296112271,XGBoost_tuned,9,0.9102395969261998
0.9,0.6875,0.5238095238095238,0.5945945945945946,124,5,10,11,0.5,0.9040236249538575,0.9040236249538575,21,20.883093090727925,1.0055981606155835,0.06859063400776627,0.24020290330948904,0.019425174606343115,0.24792214769738763,1.182781722232167,XGBoost_tuned,10,0.9011435406698564
0.8866666666666667,0.6,0.5714285714285714,0.5853658536585366,121,8,9,12,0.5,0.8933185677371723,0.8933185677371723,21,22.72890070832255,0.9239338175431651,0.08256879460538619,0.35300640107619585,0.07375911178715974,-0.943924581048194,0.3350705307755896,GaussianNB_tuned,1,0.8701688415253008
0.9,0.65,0.6190476190476191,0.6341463414634146,122,7,8,13,0.5,0.896640826873385,0.896640826873385,21,22.524089375097603,0.9323351390719209,0.07467258745705917,0.34007922612466845,0.055968085103911866,-0.8891142838040926,0.3450575840829339,GaussianNB_tuned,2,0.8617482601130927
0.9066666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,122,7,7,14,0.5,0.8940568475452196,0.8940568475452196,21,22.53354105908692,0.931944071503644,0.07578714006743902,0.3393952547538164,0.05968535781622597,-0.8722358085328161,0.3414795265591876,GaussianNB_tuned,3,0.8626277004494707
0.9066666666666666,0.6521739130434783,0.7142857142857143,0.6818181818181818,121,8,6,15,0.5,0.8911037283130306,0.8911037283130306,21,23.955372661277753,0.8766300694601628,0.07820168348469801,0.36012888778704827,0.0657949787367225,-0.9725690439857042,0.33887716311321514,GaussianNB_tuned,4,0.877148615340003
0.8933333333333333,0.6086956521739131,0.6666666666666666,0.6363636363636364,120,9,7,14,0.5,0.88187523071244,0.88187523071244,21,24.887483516409276,0.8437976457585152,0.09235629195841115,0.4276310180614042,0.07471841746729066,-1.074007060670074,0.2928612659792606,GaussianNB_tuned,5,0.8610527403218791
0.9133333333333333,0.7,0.6666666666666666,0.6829268292682927,123,6,7,14,0.5,0.8944259874492432,0.8944259874492432,21,22.770367010415917,0.9222512746673739,0.07451728591282397,0.33956344170285485,0.0583637365881588,-1.0003840662053278,0.3381980211377245,GaussianNB_tuned,6,0.8712220168189069
